sample	Population	Superpopulation	coding_one_allele_non_ref	coding_two_alleles_non_ref	wg_one_allele_non_ref	wg_two_alleles_non_ref
HG00127	GBR	EUR	191	127	241588	258704
HG02522	KHV	EAS	186	147	227456	276684
HG03950	STU	SAS	199	147	245683	262746
HG00607	CHS	EAS	172	159	229832	272836
HG00159	GBR	EUR	178	122	245677	256222
HG02236	IBS	EUR	161	154	246616	253707
HG00689	CHS	EAS	178	151	226535	272858
HG04025	ITU	SAS	176	165	234429	267945
HG02407	CDX	EAS	175	143	229856	277236
HG03397	MSL	AFR	211	158	275659	289886
NA19086	JPT	EAS	158	152	227110	277339
HG01275	CLM	AMR	165	153	232416	262123
HG00128	GBR	EUR	177	142	245557	258973
NA18596	CHB	EAS	168	158	222771	278148
HG03692	STU	SAS	177	158	241592	265633
HG01530	IBS	EUR	179	134	245544	254960
NA20811	TSI	EUR	163	144	243658	257386
HG01466	CLM	AMR	194	143	258105	255721
HG00538	CHS	EAS	192	139	226100	273319
NA10864	CEU	EUR	202	140	243909	251783
HG02004	PEL	AMR	159	140	218895	277030
