sample	Population	Superpopulation	coding_one_allele_non_ref	coding_two_alleles_non_ref	wg_one_allele_non_ref	wg_two_alleles_non_ref
HG00100	GBR	EUR	190	136	241489	260834
NA19914	ASW	AFR	235	145	284918	271621
NA12056	CEU	EUR	170	137	241843	254012
HG01503	IBS	EUR	186	130	245134	254966
NA12413	CEU	EUR	172	138	238274	256410
HG00328	FIN	EUR	179	144	237637	259478
HG01536	IBS	EUR	183	147	245913	254120
HG01252	CLM	AMR	195	133	252257	256459
HG00256	GBR	EUR	189	145	243216	259509
HG01086	PUR	AMR	209	146	253871	257092
NA10851	CEU	EUR	181	137	240946	255197
HG01148	CLM	AMR	178	147	235362	266386
NA10840	CEU	EUR	197	137	242472	253362
HG01983	PEL	AMR	180	135	235893	266069
NA12485	CEU	EUR	174	135	240528	254414
HG00310	FIN	EUR	189	127	242602	257322
NA12046	CEU	EUR	176	137	243531	252947
HG00638	PUR	AMR	205	135	264735	255460
HG03829	BEB	SAS	190	141	238804	264565
HG01984	PEL	AMR	160	148	231530	268553
HG01247	PUR	AMR	183	143	261881	256896
HG02220	IBS	EUR	186	124	246607	253928
HG01786	IBS	EUR	208	123	246857	252091
HG02330	ACB	AFR	218	146	281685	279487
HG01781	IBS	EUR	172	140	246029	253328
NA20516	TSI	EUR	194	139	242173	258522
NA19210	YRI	AFR	233	144	277710	282806
HG02811	GWD	AFR	201	151	277811	282027
HG03456	MSL	AFR	233	160	279141	287546
HG03499	ESN	AFR	201	160	278254	284957
HG02014	ACB	AFR	211	157	286095	276077
HG02620	GWD	AFR	235	129	277549	281426
HG02764	GWD	AFR	213	159	277025	281451
HG03455	MSL	AFR	225	164	280172	288343
HG02629	GWD	AFR	203	161	278454	282710
HG03045	GWD	AFR	229	152	278075	281042
HG02449	ACB	AFR	204	156	281481	282669
HG04199	STU	SAS	189	152	248019	261500
HG02837	GWD	AFR	208	166	262064	290598
HG03055	MSL	AFR	215	162	280031	290104
HG03270	ESN	AFR	225	145	280193	283994
HG02888	GWD	AFR	230	160	278260	280955
HG02625	GWD	AFR	224	143	277431	282079
HG02759	GWD	AFR	216	156	263476	288040
HG02762	GWD	AFR	232	156	277433	281376
HG03342	ESN	AFR	222	148	279789	282700
HG03343	ESN	AFR	201	155	277533	284556
HG02889	GWD	AFR	201	175	276286	281968
HG01887	ACB	AFR	214	157	285637	278530
HG01088	PUR	AMR	187	127	264318	253884
HG02496	ACB	AFR	219	132	285071	280280
HG01987	ACB	AFR	207	146	285644	277774
NA19211	YRI	AFR	228	149	275962	282298
HG02812	GWD	AFR	224	147	278815	278403
NA18915	YRI	AFR	212	148	277194	281469
HG03260	GWD	AFR	231	146	270694	284204
HG03479	MSL	AFR	218	147	284075	286120
NA20772	TSI	EUR	167	142	238686	260680
NA12414	CEU	EUR	176	137	242355	254961
HG03547	MSL	AFR	223	145	280957	288214
HG02945	ESN	AFR	218	151	280200	283333
HG02808	GWD	AFR	227	151	270165	285229
HG01243	PUR	AMR	217	149	280142	269115
HG03486	MSL	AFR	223	154	277909	289826
NA19019	LWK	AFR	240	152	278635	287299
HG03454	MSL	AFR	228	148	279568	287882
NA19206	YRI	AFR	224	147	276484	282148
HG03117	ESN	AFR	212	157	279505	283751
HG03259	GWD	AFR	179	182	245795	297334
HG03118	ESN	AFR	216	149	278989	284383
HG00112	GBR	EUR	185	145	242524	259519
HG03571	MSL	AFR	215	153	280936	287115
HG00243	GBR	EUR	203	138	247404	256454
HG02252	PEL	AMR	161	144	237457	267963
HG02786	PJL	SAS	202	130	242265	261996
HG01098	PUR	AMR	198	132	255723	254618
NA20362	ASW	AFR	219	138	286381	274921
NA20520	TSI	EUR	202	136	246509	255050
NA20527	TSI	EUR	180	143	240802	258026
HG03485	MSL	AFR	204	163	278412	289773
HG01914	ACB	AFR	214	137	281953	277003
HG03457	MSL	AFR	222	157	279708	288207
NA20796	TSI	EUR	177	140	240076	258907
HG00251	GBR	EUR	192	145	245427	255841
HG01099	PUR	AMR	191	134	259157	251893
HG03295	ESN	AFR	214	153	277680	283952
NA19150	YRI	AFR	204	157	277036	281344
HG00103	GBR	EUR	176	145	243831	259157
NA18864	YRI	AFR	204	146	277425	284165
HG01342	CLM	AMR	199	150	277555	259586
NA19118	YRI	AFR	202	146	282490	280149
NA18873	YRI	AFR	184	153	278911	282469
HG00190	FIN	EUR	180	145	242102	259687
NA18518	YRI	AFR	224	161	276032	282018
HG01807	CDX	EAS	177	163	227790	277740
NA19377	LWK	AFR	233	147	283478	284449
HG03850	STU	SAS	177	146	241339	263127
NA19471	LWK	AFR	212	157	283801	286195
NA19320	LWK	AFR	215	160	283510	285965
HG02954	ESN	AFR	208	156	279331	283768
HG01474	CLM	AMR	197	141	246536	255738
HG02255	ACB	AFR	218	143	283542	280016
HG03830	BEB	SAS	193	140	244216	262813
NA21143	GIH	SAS	210	134	245211	263581
HG01700	IBS	EUR	197	133	239218	255528
HG00453	CHS	EAS	173	147	226468	273389
NA21108	GIH	SAS	187	138	238872	265927
HG00331	FIN	EUR	178	156	243476	256745
HG03095	MSL	AFR	211	161	280380	288439
HG01465	CLM	AMR	187	137	243136	258639
NA12344	CEU	EUR	192	124	243140	253103
NA18503	YRI	AFR	209	151	272848	284385
HG04188	BEB	SAS	191	162	243267	263193
NA20299	ASW	AFR	222	130	291398	258195
HG00237	GBR	EUR	195	129	245552	259579
NA20356	ASW	AFR	225	151	285343	281051
HG02628	GWD	AFR	201	150	277051	282924
HG03667	PJL	SAS	197	138	241223	261489
NA06991	CEU	EUR	205	134	241110	254601
HG02724	PJL	SAS	190	143	244372	260478
HG01074	PUR	AMR	183	142	250955	254444
HG01351	CLM	AMR	202	132	240288	258696
HG03410	MSL	AFR	231	150	277897	288237
NA21124	GIH	SAS	215	136	243399	263107
NA19129	YRI	AFR	224	130	277694	282614
HG01677	IBS	EUR	189	143	245071	253761
HG02134	KHV	EAS	168	155	232056	273656
NA19025	LWK	AFR	206	144	282144	286369
NA12815	CEU	EUR	185	136	245501	255560
HG03119	ESN	AFR	207	148	274192	286500
HG04054	ITU	SAS	176	144	237947	267540
HG01782	IBS	EUR	189	145	245157	253904
HG02944	ESN	AFR	231	141	276423	284472
NA18875	YRI	AFR	200	156	279804	280667
HG01956	ACB	AFR	225	149	284483	280789
HG03307	ESN	AFR	214	141	270902	287312
NA18871	YRI	AFR	216	151	280315	280914
NA19224	YRI	AFR	181	156	272238	285529
HG02717	GWD	AFR	197	158	279644	280379
HG01969	PEL	AMR	169	145	230357	269778
NA18488	YRI	AFR	207	149	276388	283542
NA18855	YRI	AFR	217	153	276938	282319
NA19318	LWK	AFR	222	164	282347	285302
HG03433	MSL	AFR	222	153	284764	286344
HG03579	MSL	AFR	241	146	281090	287256
NA18935	YRI	AFR	212	147	271689	284517
HG03063	MSL	AFR	202	160	278599	288918
HG02947	ESN	AFR	223	151	280990	284459
NA19186	YRI	AFR	195	152	274824	283183
HG03065	MSL	AFR	212	149	280444	288735
HG01167	PUR	AMR	181	140	268763	256606
HG03168	ESN	AFR	201	161	276185	284113
NA19226	YRI	AFR	200	155	275441	283761
NA19704	ASW	AFR	216	145	286495	279327
HG03078	MSL	AFR	229	149	279008	288428
HG02980	ESN	AFR	209	161	279682	283442
HG02715	GWD	AFR	228	157	278431	279982
HG02284	ACB	AFR	218	148	283973	273516
NA19161	YRI	AFR	203	146	277189	281683
NA18857	YRI	AFR	225	144	278057	282703
HG03308	ESN	AFR	202	159	275408	285485
HG01960	ACB	AFR	218	157	288981	264606
NA18858	YRI	AFR	226	144	278909	282191
NA19152	YRI	AFR	242	149	276612	282765
NA19399	LWK	AFR	206	157	284218	287004
HG03382	MSL	AFR	195	168	277345	289647
HG03306	ESN	AFR	197	156	276337	283444
HG03161	ESN	AFR	203	145	276328	285370
HG02322	ACB	AFR	218	147	281098	279599
NA18485	YRI	AFR	210	156	276861	281573
HG02489	ACB	AFR	241	136	284172	277399
NA18505	YRI	AFR	220	160	274437	284223
